id_mission,id_utilisateur,type_mission,date_debut,date_fin,montant_mission,statut_mission,note_client
M000001,U0001,Livraison,2025-08-09,2025-08-10,57000,Annulée,2.1
M000002,U0001,Développement,2025-10-03,2025-10-06,123000,Terminée,3.8
M000003,U0001,Vente,2026-01-19,2026-01-22,154000,Terminée,4.0
M000004,U0001,Formation,2026-03-11,2026-03-13,89000,Terminée,4.2
M000005,U0001,Maintenance,2026-04-20,2026-04-27,170000,Terminée,4.1
M000006,U0001,Livraison,2026-04-12,2026-04-18,130000,Terminée,4.5
M000007,U0001,Rédaction,2026-05-16,2026-05-23,126000,Terminée,3.5
M000008,U0001,Livraison,2026-05-19,2026-05-20,68000,Terminée,4.1
M000009,U0002,Maintenance,2025-07-08,2025-07-15,138000,Terminée,4.5
M000010,U0002,Prestation,2025-10-01,2025-10-06,64000,Terminée,3.2
M000011,U0002,Prestation,2025-10-02,2025-10-06,140000,Terminée,3.9
M000012,U0002,Prestation,2025-11-03,2025-11-07,51000,Terminée,3.5
M000013,U0002,Design,2025-12-02,2025-12-03,74000,Terminée,4.3
M000014,U0002,Maintenance,2025-12-13,2025-12-16,57000,Annulée,3.2
M000015,U0003,Rédaction,2025-09-16,2025-09-17,110000,Terminée,4.2
M000016,U0003,Développement,2025-09-09,2025-09-14,127000,Annulée,1.6
M000017,U0003,Développement,2025-12-04,2025-12-10,29000,Terminée,4.3
M000018,U0003,Rédaction,2025-12-19,2025-12-21,98000,Terminée,4.2
M000019,U0003,Rédaction,2026-01-16,2026-01-23,102000,Terminée,4.2
M000020,U0003,Prestation,2026-02-08,2026-02-10,23000,Terminée,3.5
M000021,U0003,Design,2026-02-12,2026-02-13,122000,Terminée,3.9
M000022,U0003,Maintenance,2026-06-14,2026-06-19,110000,Terminée,3.6
M000023,U0003,Développement,2026-06-09,2026-06-16,48000,Terminée,3.8
M000024,U0004,Vente,2025-08-08,2025-08-12,64000,Terminée,4.3
M000025,U0004,Design,2025-08-16,2025-08-19,180000,Terminée,4.4
M000026,U0004,Formation,2025-09-12,2025-09-17,55000,Terminée,4.6
M000027,U0004,Livraison,2025-09-16,2025-09-19,78000,Terminée,4.1
M000028,U0004,Rédaction,2025-10-01,2025-10-02,150000,Terminée,4.3
M000029,U0004,Maintenance,2025-10-17,2025-10-21,15000,Terminée,4.4
M000030,U0004,Vente,2025-10-08,2025-10-14,92000,Terminée,3.9
M000031,U0004,Développement,2025-10-03,2025-10-04,88000,En cours,4.8
M000032,U0004,Design,2025-11-10,2025-11-17,36000,Terminée,4.3
