id_paiement,id_utilisateur,mois,type_paiement,montant_paiement,statut_paiement,jours_retard
P000001,U0001,2025-07,Facture électricité,11000,À temps,0
P000002,U0001,2025-07,Remboursement matériel,41000,À temps,0
P000003,U0001,2025-07,Transport,5500,À temps,0
P000004,U0001,2025-08,Transport,63000,À temps,0
P000005,U0001,2025-09,Abonnement internet,7000,À temps,0
P000006,U0001,2025-09,Remboursement matériel,37000,À temps,0
P000007,U0001,2025-10,Abonnement internet,34000,À temps,0
P000008,U0001,2025-11,Loyer,22500,À temps,0
P000009,U0001,2025-11,Remboursement matériel,14500,À temps,0
P000010,U0001,2025-12,Fournisseur,18000,À temps,0
P000011,U0001,2025-12,Loyer,25000,À temps,0
P000012,U0001,2026-01,Remboursement matériel,42500,En retard,12
P000013,U0001,2026-01,Remboursement matériel,23500,En retard,14
P000014,U0001,2026-02,Facture électricité,5500,À temps,0
P000015,U0001,2026-02,Loyer,38500,En retard,9
P000016,U0001,2026-03,Abonnement internet,35000,En retard,18
P000017,U0001,2026-03,Remboursement matériel,28000,À temps,0
P000018,U0001,2026-04,Abonnement internet,26500,À temps,0
P000019,U0001,2026-04,Facture électricité,22000,À temps,0
P000020,U0001,2026-05,Loyer,18000,En retard,18
P000021,U0001,2026-06,Abonnement internet,61500,En retard,16
P000022,U0001,2026-06,Facture électricité,56000,En retard,8
P000023,U0002,2025-07,Transport,58500,À temps,0
P000024,U0002,2025-07,Remboursement matériel,9000,Impayé,28
P000025,U0002,2025-07,Transport,62000,À temps,0
P000026,U0002,2025-08,Loyer,63000,En retard,7
P000027,U0002,2025-08,Abonnement internet,11000,En retard,10
P000028,U0002,2025-08,Facture électricité,29500,En retard,7
P000029,U0002,2025-09,Loyer,46000,En retard,15
P000030,U0002,2025-09,Fournisseur,50000,À temps,0
P000031,U0002,2025-10,Abonnement internet,47000,À temps,0
P000032,U0002,2025-11,Remboursement matériel,33000,En retard,4
P000033,U0002,2025-11,Transport,40000,En retard,6
P000034,U0002,2025-12,Fournisseur,49000,En retard,9
P000035,U0002,2026-01,Abonnement internet,44000,Impayé,32
P000036,U0002,2026-02,Facture électricité,54500,En retard,11
P000037,U0002,2026-02,Facture électricité,18500,À temps,0
P000038,U0002,2026-02,Loyer,32500,À temps,0
P000039,U0002,2026-03,Facture électricité,20000,Impayé,53
P000040,U0002,2026-04,Fournisseur,42000,À temps,0
P000041,U0002,2026-04,Transport,13500,À temps,0
P000042,U0002,2026-05,Loyer,56000,Impayé,26
P000043,U0002,2026-05,Loyer,12000,À temps,0
P000044,U0002,2026-05,Remboursement matériel,25500,À temps,0
P000045,U0002,2026-06,Abonnement internet,14500,À temps,0
P000046,U0003,2025-07,Abonnement internet,22000,Impayé,31
P000047,U0003,2025-08,Fournisseur,21500,À temps,0
P000048,U0003,2025-08,Facture électricité,57500,En retard,5
P000049,U0003,2025-09,Remboursement matériel,58000,À temps,0
P000050,U0003,2025-09,Abonnement internet,13000,À temps,0
P000051,U0003,2025-09,Remboursement matériel,8500,À temps,0
P000052,U0003,2025-10,Remboursement matériel,39500,À temps,0
P000053,U0003,2025-11,Loyer,16500,À temps,0
P000054,U0003,2025-11,Abonnement internet,58000,En retard,13
P000055,U0003,2025-12,Loyer,27500,En retard,12
P000056,U0003,2025-12,Facture électricité,6500,À temps,0
P000057,U0003,2026-01,Transport,5000,À temps,0
P000058,U0003,2026-01,Remboursement matériel,53000,À temps,0
P000059,U0003,2026-02,Transport,41500,En retard,10
P000060,U0003,2026-03,Fournisseur,50000,Impayé,50
P000061,U0003,2026-03,Fournisseur,63000,À temps,0
P000062,U0003,2026-04,Fournisseur,14500,À temps,0
P000063,U0003,2026-04,Remboursement matériel,16500,Impayé,30
P000064,U0003,2026-05,Transport,33500,À temps,0
P000065,U0003,2026-05,Transport,14500,Impayé,36
P000066,U0003,2026-06,Facture électricité,12000,À temps,0
P000067,U0003,2026-06,Facture électricité,56500,À temps,0
