id_revenu,id_utilisateur,mois,source_revenu,montant_revenu,canal_reception,revenu_recurrent
R000001,U0001,2025-08,Livraisons,158839,Virement,Non
R000002,U0001,2025-09,Course directe,72193,Mobile money,Non
R000003,U0001,2025-10,Course directe,128000,Mobile money,Oui
R000004,U0001,2026-01,Livraisons,110000,Mobile money,Non
R000005,U0001,2026-01,Bonus plateforme,113178,Virement,Oui
R000006,U0001,2026-02,Bonus plateforme,110000,Virement,Oui
R000007,U0001,2026-03,Livraisons,146000,Mobile money,Non
R000008,U0001,2026-04,Livraisons,60999,Mobile money,Non
R000009,U0001,2026-05,Course directe,66000,Cash,Oui
R000010,U0001,2026-06,Livraisons,134000,Mobile money,Non
R000011,U0002,2025-07,Bonus plateforme,119193,Mobile money,Oui
R000012,U0002,2025-08,Bonus plateforme,34114,Cash,Non
R000013,U0002,2025-08,Livraisons,46000,Virement,Oui
R000014,U0002,2025-10,Bonus plateforme,141608,Virement,Oui
R000015,U0002,2025-11,Bonus plateforme,30000,Mobile money,Non
R000016,U0002,2025-12,Bonus plateforme,101000,Mobile money,Oui
R000017,U0002,2025-12,Livraisons,90000,Mobile money,Oui
R000018,U0003,2025-09,Mission ponctuelle,103793,Mobile money,Non
R000019,U0003,2025-09,Salaire partiel,49583,Cash,Oui
R000020,U0003,2025-12,Petit commerce,42188,Mobile money,Oui
R000021,U0003,2026-01,Mission ponctuelle,78464,Cash,Non
R000022,U0003,2026-01,Petit commerce,89958,Virement,Oui
R000023,U0003,2026-01,Salaire partiel,112818,Mobile money,Oui
R000024,U0003,2026-02,Salaire partiel,59053,Mobile money,Non
R000025,U0003,2026-02,Mission ponctuelle,67181,Mobile money,Oui
R000026,U0003,2026-02,Salaire partiel,74728,Cash,Oui
R000027,U0003,2026-06,Salaire partiel,124120,Mobile money,Non
R000028,U0003,2026-06,Salaire partiel,167000,Mobile money,Oui
R000029,U0004,2025-07,Prestation digitale,245561,Mobile money,Non
R000030,U0004,2025-08,Contrat ponctuel,92000,Mobile money,Oui
