id_score,id_utilisateur,mois,score_revenu,score_paiement,score_activite,score_recommandation,score_transaction,score_anciennete,score_completude,score_global,classe_risque,recommandation_decisionnelle,plafond_microcredit_simule
S000001,U0001,2025-07,0,100,0.0,50.0,0,22.2,100,32.2,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000002,U0001,2025-08,50.0,100,0,27.5,33.0,22.2,100,47.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000003,U0001,2025-09,65.4,100,0,27.5,45.0,22.2,100,53.1,C,Profil moyen : à accompagner avant décision.,15000
S000004,U0001,2025-10,73.5,100,43.8,48.8,52.0,22.2,100,64.8,C,Profil moyen : à accompagner avant décision.,15000
S000005,U0001,2025-11,63.0,100,40.0,48.8,44.0,22.2,100,60.4,C,Profil moyen : à accompagner avant décision.,15000
S000006,U0001,2025-12,56.0,100,37.5,48.8,39.0,22.2,100,57.6,C,Profil moyen : à accompagner avant décision.,15000
S000007,U0001,2026-01,65.4,81.4,60.0,57.5,56.0,22.2,100,63.0,C,Profil moyen : à accompagner avant décision.,15000
S000008,U0001,2026-02,64.1,74.9,96.7,72.5,44.0,22.2,100,66.6,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000009,U0001,2026-03,68.1,66.2,96.7,75.0,46.0,22.2,100,66.4,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000010,U0001,2026-04,63.5,69.0,96.7,80.0,48.0,22.2,100,66.6,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000011,U0001,2026-05,73.6,57.5,100,76.7,60.0,22.2,100,68.8,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000012,U0001,2026-06,86.7,40.7,100,76.7,71.0,22.2,100,70.4,B,Profil fiable : éligible avec vérification complémentaire.,30840
S000013,U0002,2025-07,85.0,66.1,100,87.5,67.0,100,75,82.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000014,U0002,2025-08,94.1,38.1,100,87.5,74.0,100,75,79.8,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000015,U0002,2025-09,70.8,41.9,96.7,87.5,54.0,100,75,71.2,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000016,U0002,2025-10,75.8,48.3,98.8,71.7,62.0,100,75,73.6,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000017,U0002,2025-11,72.3,41.7,100,69.4,73.0,100,75,73.1,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000018,U0002,2025-12,73.8,39.0,82.5,69.2,81.0,100,75,71.4,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000019,U0002,2026-01,60.2,26.6,74.7,65.5,76.0,100,75,63.3,C,Profil moyen : à accompagner avant décision.,15000
S000020,U0002,2026-02,48.3,44.4,70.5,65.5,59.0,100,75,60.7,C,Profil moyen : à accompagner avant décision.,15000
S000021,U0002,2026-03,48.3,35.7,70.5,65.5,60.0,100,75,59.1,C,Profil moyen : à accompagner avant décision.,15000
S000022,U0002,2026-04,31.5,42.1,51.7,66.7,48.0,100,75,51.7,C,Profil moyen : à accompagner avant décision.,15000
S000023,U0002,2026-05,26.7,54.2,29.2,68.8,42.0,100,75,48.8,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000024,U0002,2026-06,0,62.4,0.0,50.0,26.0,100,75,35.1,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000025,U0003,2025-07,0,0,0.0,50.0,0,33.3,100,13.3,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000026,U0003,2025-08,0,36.1,0.0,50.0,0,33.3,100,20.6,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000027,U0003,2025-09,38.3,68.1,33.3,47.5,26.0,33.3,100,45.2,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000028,U0003,2025-10,32.5,72.6,31.2,47.5,38.0,33.3,100,46.1,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000029,U0003,2025-11,29.0,68.4,30.0,47.5,46.0,33.3,100,45.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000030,U0003,2025-12,36.3,65.8,60.8,64.4,55.0,33.3,100,54.4,C,Profil moyen : à accompagner avant décision.,15000
S000031,U0003,2026-01,46.6,77.2,70.5,67.5,67.0,33.3,100,62.8,C,Profil moyen : à accompagner avant décision.,15000
S000032,U0003,2026-02,61.3,74.9,81.0,67.5,85.0,33.3,100,70.3,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000033,U0003,2026-03,48.0,60.9,92.5,75.5,70.0,33.3,100,64.4,C,Profil moyen : à accompagner avant décision.,15000
S000034,U0003,2026-04,48.0,55.1,92.5,75.5,58.0,33.3,100,61.5,C,Profil moyen : à accompagner avant décision.,15000
S000035,U0003,2026-05,48.0,53.8,92.5,75.5,47.0,33.3,100,59.6,C,Profil moyen : à accompagner avant décision.,15000
S000036,U0003,2026-06,60.3,62.2,92.5,70.0,49.0,33.3,100,64.1,C,Profil moyen : à accompagner avant décision.,15466
S000037,U0004,2025-07,85.0,100,60.0,50.0,62.0,100,75,78.3,B,Profil fiable : éligible avec vérification complémentaire.,61390
S000038,U0004,2025-08,95.4,100,100,83.7,70.0,100,75,91.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,74473
S000039,U0004,2025-09,86.3,82.0,100,83.7,76.0,100,75,86.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,57225
S000040,U0004,2025-10,79.5,87.2,95.0,83.7,81.0,100,75,85.8,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,90416
S000041,U0004,2025-11,75.3,90.0,96.1,83.6,84.0,100,75,86.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,75861
S000042,U0004,2025-12,76.6,83.1,96.1,83.6,91.0,100,75,86.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,73505
S000043,U0004,2026-01,62.0,75.0,91.9,83.6,79.0,100,75,78.2,B,Profil fiable : éligible avec vérification complémentaire.,42272
S000044,U0004,2026-02,48.1,75.0,85.2,83.6,73.0,100,75,72.9,B,Profil fiable : éligible avec vérification complémentaire.,34772
S000045,U0004,2026-03,48.0,83.2,85.2,87.5,75.0,100,75,75.2,B,Profil fiable : éligible avec vérification complémentaire.,34706
S000046,U0004,2026-04,60.8,83.2,96.7,89.2,72.0,100,75,79.8,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000047,U0004,2026-05,63.2,84.6,96.7,90.5,60.0,100,75,79.0,B,Profil fiable : éligible avec vérification complémentaire.,30034
S000048,U0004,2026-06,49.6,92.6,92.5,90.5,44.0,100,75,74.2,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000049,U0005,2025-07,85.0,0,50.0,57.5,63.0,100,45,56.2,C,Profil moyen : à accompagner avant décision.,25730
S000050,U0005,2025-08,89.0,14.2,61.0,54.5,68.0,100,45,62.1,C,Profil moyen : à accompagner avant décision.,40550
S000051,U0005,2025-09,65.7,13.5,52.7,54.5,48.0,100,45,51.9,C,Profil moyen : à accompagner avant décision.,27033
S000052,U0005,2025-10,54.0,28.3,48.5,54.5,55.0,100,45,52.4,C,Profil moyen : à accompagner avant décision.,20275
S000053,U0005,2025-11,47.0,34.8,46.0,54.5,46.0,100,45,50.2,C,Profil moyen : à accompagner avant décision.,16220
S000054,U0005,2025-12,55.6,48.8,65.0,57.8,56.0,100,45,59.8,C,Profil moyen : à accompagner avant décision.,19516
S000055,U0005,2026-01,47.0,60.9,70.0,57.9,55.0,100,45,60.7,C,Profil moyen : à accompagner avant décision.,15228
S000056,U0005,2026-02,33.4,73.3,60.8,59.4,53.0,100,45,58.3,C,Profil moyen : à accompagner avant décision.,15000
S000057,U0005,2026-03,49.8,74.6,60.8,54.6,71.0,100,45,64.9,C,Profil moyen : à accompagner avant décision.,15000
S000058,U0005,2026-04,49.8,73.4,60.8,54.6,71.0,100,45,64.6,C,Profil moyen : à accompagner avant décision.,15000
S000059,U0005,2026-05,63.5,75.6,59.2,54.1,87.0,100,45,70.6,B,Profil fiable : éligible avec vérification complémentaire.,39501
S000060,U0005,2026-06,63.2,65.2,36.7,48.5,72.0,100,45,62.2,C,Profil moyen : à accompagner avant décision.,17391
S000061,U0006,2025-07,85.0,56.9,60.0,50.0,67.0,72.2,75,67.7,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000062,U0006,2025-08,50.0,46.0,30.0,50.0,69.0,72.2,75,52.5,C,Profil moyen : à accompagner avant décision.,15000
S000063,U0006,2025-09,38.3,51.6,20.0,50.0,71.0,72.2,75,49.5,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000064,U0006,2025-10,32.5,61.3,15.0,50.0,56.0,72.2,75,47.0,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000065,U0006,2025-11,29.0,60.3,12.0,50.0,48.0,72.2,75,44.3,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
