id_transaction,id_utilisateur,date_transaction,type_transaction,canal,montant,categorie
T0000001,U0001,2025-08-10,Sortie,Mobile money,11000,Fournisseur
T0000002,U0001,2025-08-11,Entrée,Mobile money,143500,Transfert reçu
T0000003,U0001,2025-08-24,Entrée,Mobile money,133500,Vente
T0000004,U0001,2025-09-03,Sortie,Mobile money,51000,Transfert envoyé
T0000005,U0001,2025-09-03,Sortie,Mobile money,10500,Retrait
T0000006,U0001,2025-10-01,Entrée,Mobile money,103000,Dépôt
T0000007,U0001,2025-10-08,Entrée,Mobile money,148500,Vente
T0000008,U0001,2025-11-09,Entrée,Mobile money,96500,Vente
T0000009,U0001,2025-12-11,Entrée,Mobile money,117500,Dépôt
T0000010,U0001,2026-01-27,Entrée,Mobile money,78500,Transfert reçu
T0000011,U0001,2026-01-05,Sortie,Mobile money,66500,Fournisseur
T0000012,U0001,2026-01-26,Sortie,Mobile money,56500,Retrait
T0000013,U0001,2026-01-18,Entrée,Mobile money,107000,Transfert reçu
T0000014,U0001,2026-01-02,Entrée,Virement,144500,Transfert reçu
T0000015,U0001,2026-01-21,Sortie,Mobile money,79000,Transfert envoyé
T0000016,U0001,2026-01-06,Sortie,Cash,47500,Retrait
T0000017,U0001,2026-02-01,Entrée,Mobile money,92500,Paiement client
T0000018,U0001,2026-03-17,Sortie,Mobile money,33000,Retrait
T0000019,U0001,2026-03-08,Entrée,Cash,123000,Transfert reçu
T0000020,U0001,2026-03-13,Sortie,Mobile money,57500,Retrait
T0000021,U0001,2026-03-19,Entrée,Mobile money,120000,Paiement client
T0000022,U0001,2026-04-04,Sortie,Mobile money,42000,Retrait
T0000023,U0001,2026-04-17,Entrée,Cash,39000,Dépôt
T0000024,U0001,2026-04-06,Entrée,Mobile money,113000,Transfert reçu
T0000025,U0001,2026-04-06,Entrée,Mobile money,147500,Paiement client
T0000026,U0001,2026-05-17,Sortie,Mobile money,73000,Fournisseur
T0000027,U0001,2026-05-27,Entrée,Cash,144000,Dépôt
T0000028,U0001,2026-05-07,Sortie,Mobile money,72500,Fournisseur
T0000029,U0001,2026-06-06,Sortie,Mobile money,57000,Transfert envoyé
T0000030,U0001,2026-06-19,Sortie,Mobile money,9000,Retrait
T0000031,U0002,2025-07-21,Entrée,Mobile money,22000,Transfert reçu
T0000032,U0002,2025-07-24,Sortie,Mobile money,68500,Fournisseur
T0000033,U0002,2025-07-16,Entrée,Virement,121000,Dépôt
T0000034,U0002,2025-07-21,Entrée,Cash,122000,Vente
T0000035,U0002,2025-07-13,Sortie,Mobile money,71000,Dépense activité
T0000036,U0002,2025-07-09,Entrée,Mobile money,131500,Paiement client
T0000037,U0002,2025-07-26,Entrée,Mobile money,129000,Paiement client
T0000038,U0002,2025-08-21,Entrée,Mobile money,114500,Paiement client
T0000039,U0002,2025-08-03,Entrée,Cash,127000,Paiement client
T0000040,U0002,2025-08-01,Entrée,Cash,4500,Transfert reçu
T0000041,U0002,2025-08-16,Sortie,Mobile money,18500,Fournisseur
T0000042,U0002,2025-08-11,Entrée,Mobile money,29000,Vente
T0000043,U0002,2025-08-21,Entrée,Mobile money,37000,Transfert reçu
T0000044,U0002,2025-08-01,Sortie,Cash,75000,Transfert envoyé
T0000045,U0002,2025-10-11,Entrée,Mobile money,96500,Vente
T0000046,U0002,2025-10-18,Entrée,Virement,98000,Transfert reçu
T0000047,U0002,2025-10-19,Sortie,Mobile money,3000,Dépense activité
T0000048,U0002,2025-11-24,Sortie,Mobile money,58500,Transport
T0000049,U0002,2025-11-14,Sortie,Mobile money,12500,Retrait
T0000050,U0002,2025-11-22,Entrée,Mobile money,83000,Vente
T0000051,U0002,2025-11-23,Sortie,Mobile money,2500,Dépense activité
T0000052,U0002,2025-11-17,Entrée,Cash,93000,Transfert reçu
T0000053,U0002,2025-11-12,Entrée,Mobile money,46000,Dépôt
T0000054,U0002,2025-11-25,Entrée,Mobile money,33000,Dépôt
T0000055,U0002,2025-11-17,Sortie,Mobile money,36500,Fournisseur
T0000056,U0002,2025-12-11,Sortie,Mobile money,30500,Fournisseur
T0000057,U0002,2025-12-27,Entrée,Virement,73000,Dépôt
T0000058,U0002,2025-12-08,Entrée,Mobile money,49000,Vente
T0000059,U0002,2025-12-15,Sortie,Virement,10000,Fournisseur
T0000060,U0002,2025-12-03,Sortie,Mobile money,44000,Transport
T0000061,U0002,2025-12-19,Sortie,Cash,39000,Retrait
T0000062,U0002,2026-01-01,Sortie,Mobile money,20500,Retrait
T0000063,U0002,2026-01-21,Sortie,Cash,46500,Transfert envoyé
T0000064,U0002,2026-03-04,Sortie,Mobile money,77000,Dépense activité
T0000065,U0002,2026-04-11,Sortie,Virement,44000,Fournisseur
T0000066,U0002,2026-05-15,Entrée,Mobile money,83000,Transfert reçu
T0000067,U0002,2026-05-27,Entrée,Cash,81500,Paiement client
